Harbor;Latitude;Longitude
muelheimanderruhr;N 51 26;E 006 51
MUKRAN;N 54 29;E 013 36
neuharlingersiel;N 53 42;E 007 42
neuss;N 51 13;E 006 42
NEUSTADT;N 54 06;E 010 48
niehl;N 50 59;E 006 59
norddeich;N 53 37;E 007 10
nordenham;N 53 30;E 008 31
norderney;N 53 42;E 007 10
nordstrand;N 54 30;E 008 48
nuernberg;N 49 25;E 011 02
ottmarsheim;N 47 48;E 007 32
papenburg;N 53 06;E 007 22
passau;N 48 35;E 013 26
peenemuende;N 54 08;E 013 46
pilotruester;N 54 15;E 009 37
puttgarden;N 54 30;E 011 14
regensburg;N 49 01;E 012 08
rendsburg;N 54 18;E 009 42
riesa;N 51 19;E 013 17
ROSTOCK;N 54 08;E 012 07
roth;N 49 14;E 011 09
SASSNITZ;N 54 31;E 013 38
schluettsiel;N 54 41;E 008 45
speyer;N 49 19;E 008 27
spiekeroog;N 53 46;E 007 42
spyck;N 51 50;E 006 10
stadersand;N 53 38;E 009 31
STRALSUND;N 54 18;E 013 06
straubing;N 48 54;E 012 40
tangermuende;N 52 33;E 011 59
TRAVEMUENDE;N 53 57;E 010 52
uerdingen;N 51 21;E 006 40
vierow;N 54 08;E 013 34
wangerooge;N 53 47;E 007 52
WEDEL;N 53 34;E 009 42
weilamrhein;N 47 36;E 007 35
wesel;N 51 39;E 006 36
westdorf;N 53 43;E 007 22
westerdeich;N 53 41;E 007 22
wewelsfleth;N 53 50;E 009 24
wieck;N 54 06;E 013 27
WILHELMSHAVEN;N 53 35;E 008 06
WISCHHAFEN;N 53 46;E 009 20
WISMAR;N 53 54;E 011 27
wittenberge;N 52 59;E 011 45
woerthamrhein;N 49 04;E 008 18
WOLGAST;N 54 03;E 013 47
worms;N 49 39;E 008 22
wuerzburg;N 49 48;E 009 54
wykfoehr;N 54 41;E 008 34
takoradi;N 04 55;W 001 43
tema;N 05 38;E 000 01
agioitheodoroi%20;N 37 55;E 023 05
ampelakia;N 37 57;E 023 33
andirrion;N 38 20;E 021 46
chalkis;N 38 26;E 023 36
corfu;N 39 38;E 019 55
drepanoriou;N 38 20;E 021 51
elevsis;N 38 02;E 023 33
ermoupoli;N 37 26;E 024 57
gavrion;N 37 53;E 024 44
glyfada;N 37 53;E 023 44
heraklion;N 35 21;E 025 09
kalamaki;N 37 55;E 023 42
kalilimenes;N 34 56;E 024 48
kimolos;N 36 47;E 024 35
kos;N 36 54;E 027 17
lavrio;N 37 43;E 024 04
mykonos;N 37 27;E 025 20
mytilene;N 39 06;E 026 33
naxos;N 37 06;E 025 22
patras;N 38 14;E 021 44
patrasrio;N 38 19;E 021 47
PERAMA;N 37 57;E 023 35
PIRAEUS;N 37 56;E 023 39
prinosthassou;N 40 46;E 024 35
rhodos;N 36 27;E 028 14
thessaloniki;N 40 36;E 022 55
thira;N 36 24;E 025 26
tinos;N 37 32;E 025 10
saintgeorges;N 12 03;W 061 45
barrios;N 15 44;W 088 36
puertoquetzal%20;N 13 55;W 090 48
santotomas;N 15 42;W 088 37
conakry;N 09 31;W 013 43
portkamsar;N 10 39;W 014 38
georgetown;N 06 47;W 058 11
caphaitien;N 19 45;W 072 11
labadee;N 19 47;W 072 15
portauprince;N 18 33;W 072 22
puertocortes;N 15 50;W 087 57
budapest;N 47 31;E 019 03
akranes;N 64 19;W 022 05
akureyri;N 65 41;W 018 05
dalvik;N 65 58;W 018 32
eskifjordur;N 65 04;W 014 01
flateyri;N 66 03;W 023 31
grindavik;N 63 50;W 022 25
grundarfjoerour;N 64 55;W 023 15
husavik;N 66 03;W 017 21
keflavik;N 64 00;W 022 33
olafsvik;N 64 54;W 023 42
patreksfjordur;N 65 36;W 024 00
porlakshoefn;N 63 52;W 021 22
reydartfjordur;N 65 02;W 014 13
reykjavik;N 64 09;W 021 53
rificeland;N 64 55;W 023 49
sandgerdi;N 64 02;W 022 43
siglufjordur;N 66 09;W 018 55
stykkisholmur;N 65 05;W 022 43
suoureyri;N 66 08;W 023 31
talknafjordur;N 65 38;W 023 49
alang;N 21 23;E 072 13
budgebudge;N 22 29;E 088 11
chennai;N 13 06;E 080 18
cochin;N 09 58;E 076 16
dhamra;N 20 49;E 086 58
ennore;N 13 16;E 080 21
gangavaram;N 17 37;E 083 14
haldia;N 22 02;E 088 05
hazira;N 21 08;E 072 40
kakinada;N 16 58;E 082 16
kandla;N 23 01;E 070 13
karwarport;N 14 48;E 074 07
kattupalli;N 13 18;E 080 21
kolkata;N 22 35;E 088 19
krishnapatnam;N 14 15;E 080 08
mangalore;N 12 56;E 074 49
mormugao;N 15 25;E 073 48
mumbai;N 18 56;E 072 51
mundra;N 22 45;E 069 39
nhavasheva;N 18 57;E 072 57
panaji;N 15 30;E 073 50
paradip;N 20 16;E 086 40
pipavav;N 20 55;E 071 30
pirpau;N 18 59;E 072 54
sanghi;N 23 23;E 068 34
tuticorin;N 08 45;E 078 13
visakhapatnam;N 17 42;E 083 17
amamapare;S 04 50;E 136 51
ambon;S 03 40;E 128 12
anyer;S 06 02;E 105 56
bakauheni;S 05 52;E 105 45
balikpapan;S 01 12;E 116 47
balongan;S 06 20;E 108 26
banjarmasin;S 03 19;E 114 33
bantam;N 01 04;E 103 56
batuampar;N 01 10;E 103 60
baubau;S 05 27;E 122 37
belawan;N 03 47;E 098 40
bengkulu;S 03 55;E 102 18
bitung;N 01 27;E 125 13
bojonegara;S 05 59;E 106 07
bontang;N 00 11;E 117 30
bontangbadak;N 00 05;E 117 29
cigading;S 06 01;E 105 57
cilacap;S 07 43;E 109 00
cirebon;S 06 43;E 108 35
denpasar;S 08 45;E 115 13
dumai;N 01 43;E 101 26
gilimanuk;S 08 10;E 114 26
gresik;S 07 10;E 112 40
jakarta;S 06 06;E 106 54
kendari;S 03 59;E 122 35
ketapang;S 08 08;E 114 24
kotabaru;S 03 15;E 116 12
kualatanjung;N 03 23;E 099 28
kumai;S 02 42;E 111 46
kupang;S 10 12;E 123 31
labuhan;S 06 24;E 105 49
lembar;S 08 44;E 116 04
lhoknga;N 05 27;E 095 15
lhokseumawe;N 05 14;E 097 05
makassar;S 05 08;E 119 25
manggis;S 08 31;E 115 31
manokwari;S 00 52;E 134 04
mataram;S 08 35;E 116 04
merak;S 05 56;E 106 03
pacitan;S 08 16;E 111 22
padang;S 01 00;E 100 22
palembang;S 02 59;E 104 49
palu;S 00 46;E 119 49
pangkalpinang;S 02 06;E 106 08
pantoloan;S 00 43;E 119 51
pontianak;N 00 01;E 109 20
probolinggo;S 07 43;E 113 13
samarinda;S 00 33;E 117 10
sampit;S 02 40;E 113 01
saumlaki;S 07 59;E 131 18
