Harbor;Latitude;Longitude;Latitude2;Longitude2
yantian;N 22 34;E 114 16;22.5666666667;114.266666667
yingkou;N 40 17;E 122 06;40.2833333333;122.1
yiulianshekoudockyards;N 22 30;E 113 50;22.5;113.833333333
yongningzhen;N 24 40;E 118 41;24.6666666667;118.683333333
yueqing;N 28 10;E 121 06;28.1666666667;121.1
zhangjiagang;N 31 57;E 120 36;31.95;120.6
zhanjiang;N 21 13;E 110 25;21.2166666667;110.416666667
zhaoqing;N 23 02;E 112 28;23.0333333333;112.466666667
zhapu;N 30 35;E 121 05;30.5833333333;121.083333333
zhenjiang;N 32 12;E 119 31;32.2;119.516666667
zhoushan;N 29 60;E 122 03;30.0;122.05
zhuhai;N 22 16;E 113 35;22.2666666667;113.583333333
barranquilla;N 10 60;W 074 47;11.0;-74.7833333333
buenaventura;N 03 54;W 077 04;3.9;-77.0666666667
cartagena;N 10 21;W 075 31;10.35;-75.5166666667
covenas;N 09 28;W 075 44;9.46666666667;-75.7333333333
Santa%20Marta;N 11 15;W 074 13;11.25;-74.2166666667
pointenoire;S 04 47;E 011 50;-4.78333333333;11.8333333333
caldera;N 09 55;W 084 43;9.91666666667;-84.7166666667
puertolimon;N 09 59;W 083 01;9.98333333333;-83.0166666667
abidjan;N 05 18;W 004 02;5.3;-4.03333333333
kostrena;N 45 19;E 014 29;45.3166666667;14.4833333333
kraljevica;N 45 16;E 014 34;45.2666666667;14.5666666667
omisalj;N 45 13;E 014 32;45.2166666667;14.5333333333
plomin;N 45 08;E 014 11;45.1333333333;14.1833333333
rijeka;N 45 20;E 014 26;45.3333333333;14.4333333333
rogac;N 43 24;E 016 18;43.4;16.3
split;N 43 31;E 016 26;43.5166666667;16.4333333333
famagusta;N 35 08;E 033 57;35.1333333333;33.95
larnacaoffshore;N 34 57;E 033 40;34.95;33.6666666667
larnaka;N 34 55;E 033 39;34.9166666667;33.65
limassol;N 34 39;E 033 01;34.65;33.0166666667
aalborg;N 57 03;E 009 56;57.05;9.93333333333
AARHUS;N 56 09;E 010 14;56.15;10.2333333333
allinge;N 55 17;E 014 48;55.2833333333;14.8
apenrade;N 55 03;E 009 26;55.05;9.43333333333
aroskobing;N 54 54;E 010 25;54.9;10.4166666667
assens;N 55 16;E 009 53;55.2666666667;9.88333333333
avedore;N 55 36;E 012 29;55.6;12.4833333333
bagenkop;N 54 45;E 010 40;54.75;10.6666666667
KOPENHAGEN;N 55 42;E 012 37;55.7;12.6166666667
dragor;N 55 35;E 012 41;55.5833333333;12.6833333333
esbjerg;N 55 28;E 008 26;55.4666666667;8.43333333333
FREDERICIA;N 55 33;E 009 45;55.55;9.75
frederikshavn;N 57 26;E 010 33;57.4333333333;10.55
frederiksvaerk;N 55 58;E 012 01;55.9666666667;12.0166666667
fynshav;N 54 60;E 009 59;55.0;9.98333333333
gedser;N 54 34;E 011 56;54.5666666667;11.9333333333
gilleleje;N 56 08;E 012 19;56.1333333333;12.3166666667
grenaa;N 56 25;E 010 56;56.4166666667;10.9333333333
hanstholm;N 57 07;E 008 36;57.1166666667;8.6
havneby;N 55 05;E 008 34;55.0833333333;8.56666666667
helsingor;N 56 02;E 012 37;56.0333333333;12.6166666667
hirtshals;N 57 36;E 009 58;57.6;9.96666666667
horsens;N 55 51;E 009 52;55.85;9.86666666667
hov;N 55 55;E 010 15;55.9166666667;10.25
hvidesande;N 56 00;E 008 08;56.0;8.13333333333
kalundborg;N 55 40;E 011 05;55.6666666667;11.0833333333
koge;N 55 28;E 012 12;55.4666666667;12.2
kolbykas;N 55 48;E 010 32;55.8;10.5333333333
kolding;N 55 30;E 009 30;55.5;9.5
korsoer;N 55 20;E 011 08;55.3333333333;11.1333333333
marstal;N 54 51;E 010 31;54.85;10.5166666667
middelfart;N 55 30;E 009 44;55.5;9.73333333333
nakskov;N 54 50;E 011 08;54.8333333333;11.1333333333
nexoebornholm;N 55 04;E 015 08;55.0666666667;15.1333333333
nyborg;N 55 18;E 010 48;55.3;10.8
oesterby;N 57 19;E 011 07;57.3166666667;11.1166666667
osthavnen;N 57 03;E 010 03;57.05;10.05
rodby;N 54 39;E 011 21;54.65;11.35
roenne;N 55 06;E 014 41;55.1;14.6833333333
rudkoebing;N 54 56;E 010 43;54.9333333333;10.7166666667
skagen;N 57 43;E 010 35;57.7166666667;10.5833333333
snaptun;N 55 49;E 010 03;55.8166666667;10.05
sobydk;N 54 57;E 010 15;54.95;10.25
sonderborg;N 54 55;E 009 47;54.9166666667;9.78333333333
spodsbjerg;N 54 56;E 010 50;54.9333333333;10.8333333333
stevnspier;N 55 19;E 012 27;55.3166666667;12.45
strandby;N 57 30;E 010 30;57.5;10.5
svendborg;N 55 04;E 010 37;55.0666666667;10.6166666667
tejnbornholm;N 55 15;E 014 50;55.25;14.8333333333
thisted;N 56 57;E 008 42;56.95;8.7
thorsminde;N 56 22;E 008 07;56.3666666667;8.11666666667
tyboroen;N 56 42;E 008 13;56.7;8.21666666667
vejle;N 55 42;E 009 33;55.7;9.55
vigeroe;N 55 28;E 010 33;55.4666666667;10.55
djibouti;N 11 36;E 043 07;11.6;43.1166666667
roseau;N 15 18;W 061 23;15.3;-61.3833333333
barahona;N 18 12;W 071 05;18.2;-71.0833333333
caborojo;N 17 56;W 071 39;17.9333333333;-71.65
caucedo;N 18 26;W 069 38;18.4333333333;-69.6333333333
haina;N 18 25;W 070 01;18.4166666667;-70.0166666667
laromana;N 18 25;W 068 55;18.4166666667;-68.9166666667
lascalderas;N 18 13;W 070 31;18.2166666667;-70.5166666667
puertoplata;N 19 49;W 070 43;19.8166666667;-70.7166666667
samana;N 19 12;W 069 20;19.2;-69.3333333333
sanpedromacoris;N 18 27;W 069 19;18.45;-69.3166666667
santodomingo;N 18 29;W 069 53;18.4833333333;-69.8833333333
esmeraldas;N 00 59;W 079 39;0.983333333333;-79.65
guayaquil;S 02 16;W 079 56;-2.26666666667;-79.9333333333
lalibertad;S 02 11;W 080 53;-2.18333333333;-80.8833333333
manta;S 00 56;W 080 43;-0.933333333333;-80.7166666667
monteverde;S 02 04;W 080 45;-2.06666666667;-80.75
posorja;S 02 42;W 080 15;-2.7;-80.25
puertobolivar;S 03 16;W 080 00;-3.26666666667;-80.0
abuqir;N 31 19;E 030 05;31.3166666667;30.0833333333
adabiya;N 29 53;E 032 28;29.8833333333;32.4666666667
ainsukhna%20;N 29 39;E 032 21;29.65;32.35
alexandria;N 31 09;E 029 51;31.15;29.85
damietta;N 31 28;E 031 46;31.4666666667;31.7666666667
nuwaiba;N 28 58;E 034 40;28.9666666667;34.6666666667
portsaid;N 31 14;E 032 20;31.2333333333;32.3333333333
sidikerir;N 31 07;E 029 35;31.1166666667;29.5833333333
suez;N 29 57;E 032 33;29.95;32.55
bata;N 01 50;E 009 44;1.83333333333;9.73333333333
luba;N 03 29;E 008 33;3.48333333333;8.55
malabo;N 03 46;E 008 47;3.76666666667;8.78333333333
puntaeuropa;N 03 46;E 008 43;3.76666666667;8.71666666667
kuivastu;N 58 34;E 023 24;58.5666666667;23.4
kunda;N 59 31;E 026 33;59.5166666667;26.55
miiduranna;N 59 30;E 024 49;59.5;24.8166666667
MUUGA;N 59 30;E 024 58;59.5;24.9666666667
oti;N 59 34;E 024 48;59.5666666667;24.8
paldiski;N 59 21;E 024 04;59.35;24.0666666667
